id,report_date,report_period,channel,source,medium,sessions,new_visitors,orders,revenue,conversion_rate
ca6831f84543584e26590f4fc13a34a2,2023-01-01,monthly,google,google,cpc,11226,7462,437,25771.41,0.0389
7bd5820b94dc5aee477e9053994ed228,2023-01-01,monthly,meta,meta,cpc,12532,7659,216,17497.71,0.0172
3c1feedbd880d286ca50482e282c1ee7,2023-01-01,monthly,email,email,cpc,4480,2245,64,4267.65,0.0143
de23cf4390786122ed6569ab7b519374,2023-01-01,monthly,organic,organic,cpc,11526,5082,348,23013.19,0.0302
480ad0dbc7d93d333e25ebd7eaf13559,2023-01-01,monthly,direct,direct,cpc,1396,727,59,4501.89,0.0423
aaf769e39010699542f88e020e755087,2023-01-01,monthly,influencer,influencer,cpc,2280,1175,52,3336.09,0.0228
cf2743ffb5124d49f0780e51bf5ef956,2023-01-01,monthly,affiliate,affiliate,cpc,8278,5005,349,16549.89,0.0422
9139d3246a3f2c1945fe5ee33f927392,2023-02-01,monthly,google,google,cpc,7042,3458,141,11559.2,0.02
503a1c1bfb22c45480b0e55cb223da39,2023-02-01,monthly,meta,meta,cpc,1714,861,27,1956.69,0.0158
4eaf867a1525a438034e9fa9e006ad33,2023-02-01,monthly,email,email,cpc,3090,1318,75,3103.9,0.0243
7caf898cca71ad05aa9fdd964a937b21,2023-02-01,monthly,organic,organic,cpc,1610,1077,27,1845.99,0.0168
4236c3671f4516bad31c288a0f692fa6,2023-02-01,monthly,direct,direct,cpc,3815,2505,40,3574.8,0.0105
11e21e0aff7fb792c631f1f7357054cc,2023-02-01,monthly,influencer,influencer,cpc,4186,2295,42,1777.47,0.01
b16d8ac8246ab35316b012dcdffa4c65,2023-02-01,monthly,affiliate,affiliate,cpc,10465,4838,354,31434.29,0.0338
45cccaad36d9483cc089358e4430c488,2023-03-01,monthly,google,google,cpc,2412,1533,112,5183.79,0.0464
e9711bfe0d7f4e85f742e7c7648aa40e,2023-03-01,monthly,meta,meta,cpc,5661,3733,64,3426.45,0.0113
4a7109c13a31287130c7a52c45bb4093,2023-03-01,monthly,email,email,cpc,11073,5541,462,25845.11,0.0417
b11346e0d626b3460f10340633495d02,2023-03-01,monthly,organic,organic,cpc,8749,3669,274,15300.21,0.0313
4a3fe0b697ed5629b22c42ff4d970e0b,2023-03-01,monthly,direct,direct,cpc,10264,5227,103,6722.31,0.01
9eceb96b29a3ae655cd93f5997f3ed66,2023-03-01,monthly,influencer,influencer,cpc,5383,2338,262,14424.11,0.0487
8629260f0c7557aa94e8ad6d590beb6c,2023-03-01,monthly,affiliate,affiliate,cpc,12500,5519,259,22618.96,0.0207
3a27e6b9a1e6b368b7a4d61c819da737,2023-04-01,monthly,google,google,cpc,11711,6815,222,19438.99,0.019
283efa3d1db386eb3ddfe1e6eb47a3ec,2023-04-01,monthly,meta,meta,cpc,8443,4121,193,15989.3,0.0229
e3a5206411f1c5dd65dc28324e7e2e52,2023-04-01,monthly,email,email,cpc,3912,1688,77,3235.63,0.0197
8672694d3b238e5caac41f3f507f9019,2023-04-01,monthly,organic,organic,cpc,14662,9529,459,31624.68,0.0313
34a9c8183db9a2a4ad61e1fee0a2cfe4,2023-04-01,monthly,direct,direct,cpc,8406,4773,150,12052.32,0.0178
bd78ac07a25632540bc3a9a7e5285d1d,2023-04-01,monthly,influencer,influencer,cpc,9027,4347,400,27562.34,0.0443
bf5747b6124093f82c948807af4806bb,2023-04-01,monthly,affiliate,affiliate,cpc,2469,1651,43,2341.7,0.0174
94127f740b27f88d36e1cbcc47b7647f,2023-05-01,monthly,google,google,cpc,7169,4445,356,21964.06,0.0497
d7a8970f91a0a976d1b6c9c75f5d60ac,2023-05-01,monthly,meta,meta,cpc,11734,6138,402,17801.02,0.0343
9dbee2f96c6e11d44f5586186964e881,2023-05-01,monthly,email,email,cpc,9712,5877,222,19603.77,0.0229
25f04f9babd93e84ee5a0c6bb2adc495,2023-05-01,monthly,organic,organic,cpc,9694,5003,468,35646.98,0.0483
8949c9d3ecce94ec8b55260f737b4bab,2023-05-01,monthly,direct,direct,cpc,4064,1937,135,6379.89,0.0332
e61a2662393a5117212950dfbf4a9862,2023-05-01,monthly,influencer,influencer,cpc,1866,854,26,1458.3,0.0139
d9b03c248a9efc53aad810956fbbc7a5,2023-05-01,monthly,affiliate,affiliate,cpc,7631,5130,321,26006.22,0.0421
dd40f8c83935e82f74b543c42e564938,2023-06-01,monthly,google,google,cpc,6614,3498,197,13176.64,0.0298
9f74cb3c81438fe1a896f21ca3d4f2f9,2023-06-01,monthly,meta,meta,cpc,5196,3018,252,21675.92,0.0485
ebae01d38a20eba59d94b8112b51b9bd,2023-06-01,monthly,email,email,cpc,4867,2334,176,8130.88,0.0362
2f14901bf1484fe8cf71d4e38bee18d6,2023-06-01,monthly,organic,organic,cpc,9994,5907,199,15653.81,0.0199
6c816357cc5f214793f1c7857469afde,2023-06-01,monthly,direct,direct,cpc,6401,4375,209,14394.23,0.0327
bcf6a880844ba54085442d5e7bb709fa,2023-06-01,monthly,influencer,influencer,cpc,11344,5218,167,14673.59,0.0147
2ba97ac416ac04b241c67a49ae1edb7f,2023-06-01,monthly,affiliate,affiliate,cpc,6074,3037,252,20667.13,0.0415
f8f7842c36f884155649fcbcacf470c0,2023-07-01,monthly,google,google,cpc,10733,4300,138,12310.97,0.0129
ee536accbb369630feeefac38f00f774,2023-07-01,monthly,meta,meta,cpc,1684,675,33,1413.18,0.0196
2dd101bab9662b95b0f3d67790dabbcb,2023-07-01,monthly,email,email,cpc,8968,3939,306,16458.03,0.0341
404eb50cf5f3f6a6b3e4d5faa1157901,2023-07-01,monthly,organic,organic,cpc,4351,1811,189,15254.3,0.0434
1cc17233a9532742a853d2729be2b724,2023-07-01,monthly,direct,direct,cpc,8695,4571,236,15773.93,0.0271
021096e900b3f4d59ee88757c01cd06b,2023-07-01,monthly,influencer,influencer,cpc,4042,1910,43,2221.87,0.0106
a0f02c4be8ef7ba6169ea2cd57557c72,2023-07-01,monthly,affiliate,affiliate,cpc,12798,6563,392,23678.18,0.0306
6d601bd480c3aad482ba112b56d6ed8d,2023-08-01,monthly,google,google,cpc,3741,1995,61,4410.05,0.0163
23d45e812e3945b49d6d359b310e605f,2023-08-01,monthly,meta,meta,cpc,8009,4629,252,22465.21,0.0315
86e4af489d02bf91b81fc081b765d32f,2023-08-01,monthly,email,email,cpc,4257,1773,145,9544.91,0.0341
4c82406de5ec27185a443191d95597d1,2023-08-01,monthly,organic,organic,cpc,1932,1323,41,2289.42,0.0212
50c45acb6db24a6180b9934cb44a6bff,2023-08-01,monthly,direct,direct,cpc,11824,5586,138,11130.39,0.0117
4539830b17b227c42ebf5469fc58361c,2023-08-01,monthly,influencer,influencer,cpc,12965,5710,445,36363.84,0.0343
0ce09143c84b6d60d9c4d0d6a9755c40,2023-08-01,monthly,affiliate,affiliate,cpc,13121,8826,560,40704.12,0.0427
539594e7bda3a42cfcbf459c60136815,2023-09-01,monthly,google,google,cpc,12235,7190,301,20048.37,0.0246
a20b803489474cf70d48e5d61ac0ca74,2023-09-01,monthly,meta,meta,cpc,14333,8776,585,25805.75,0.0408
a7a6e0e3cef12df126f550781350cd15,2023-09-01,monthly,email,email,cpc,12409,6870,340,25607.38,0.0274
bd9e6d5eafa31af53feb5d1cbc417a54,2023-09-01,monthly,organic,organic,cpc,10306,4791,461,34563.13,0.0447
29f18d50fa2666af69dd898ccffefa7a,2023-09-01,monthly,direct,direct,cpc,3609,1949,87,4982.26,0.0241
18a76b22a74d9eced583fad1efee560e,2023-09-01,monthly,influencer,influencer,cpc,4254,2553,94,6916.44,0.0221
2f574431cbdf7c022d4c819fe94e8e3c,2023-09-01,monthly,affiliate,affiliate,cpc,6889,3775,114,7649.46,0.0165
329e801becd7ec05c96995e18ec53867,2023-10-01,monthly,google,google,cpc,10596,4759,529,45562.16,0.0499
75d62f6f60211b8d4ddf1f1427cb207f,2023-10-01,monthly,meta,meta,cpc,3708,2112,91,6979.54,0.0245
28a593bea90958c2a7c7ae3b5250f7ef,2023-10-01,monthly,email,email,cpc,14763,6926,424,36145.36,0.0287
12fa97b57cedbbafc100916060daadf5,2023-10-01,monthly,organic,organic,cpc,10273,6605,353,16077.67,0.0344
81a7522123f1f2c8fd92499565491c27,2023-10-01,monthly,direct,direct,cpc,9755,5331,275,23450.85,0.0282
62998b021d289a766182a410953f4d5b,2023-10-01,monthly,influencer,influencer,cpc,7863,4158,141,11311.44,0.0179
7705d690dc296871a7ce5bda4edafec4,2023-10-01,monthly,affiliate,affiliate,cpc,2570,1083,68,3354.01,0.0265
7c1e34ca780fa6ee39dc2129d938a109,2023-11-01,monthly,google,google,cpc,1852,1056,80,3305.0,0.0432
91c4e730da5f11944881acffcfefa94f,2023-11-01,monthly,meta,meta,cpc,8042,4448,137,9274.58,0.017
854960a8f6ae4d8b5a84479e29d76dd3,2023-11-01,monthly,email,email,cpc,5248,2624,144,6261.48,0.0274
06932e72a1b81eddc88c88112d6d93d3,2023-11-01,monthly,organic,organic,cpc,3041,1682,30,2369.17,0.0099
dc6dffa85e3cf8460b83ce74c092daa5,2023-11-01,monthly,direct,direct,cpc,9598,6588,194,16712.91,0.0202
3971e83d9cca2817781f13d394065ce8,2023-11-01,monthly,influencer,influencer,cpc,4659,2953,204,15566.32,0.0438
05abf60516cfeeafcc3948e4348f2f7e,2023-11-01,monthly,affiliate,affiliate,cpc,7619,4676,101,4747.13,0.0133
fca092e16b15210bdfdf1a0d70ebb299,2023-12-01,monthly,google,google,cpc,5218,2868,52,3613.56,0.01
9f3010dab9cc4fb8daa3d8ac88dce7cb,2023-12-01,monthly,meta,meta,cpc,7372,3445,328,19097.28,0.0445
887bb3c736ea07d8d7be48fa3ed27e29,2023-12-01,monthly,email,email,cpc,8933,5330,222,12043.0,0.0249
748cbe0886af7d11dbd4d64f347fd5ef,2023-12-01,monthly,organic,organic,cpc,4511,2204,157,7789.71,0.0348
873ad4cb4a952ad1e522dedc90036fc5,2023-12-01,monthly,direct,direct,cpc,4534,2625,54,4111.15,0.0119
a166a21088743eeb4299a9a3cb999978,2023-12-01,monthly,influencer,influencer,cpc,11525,7499,129,6235.31,0.0112
bb1b54bef0bf44838e99e8b338e2637c,2023-12-01,monthly,affiliate,affiliate,cpc,8897,5221,392,15760.73,0.0441
edd69db02c508d2d6e197adbdcffe71f,2024-01-01,monthly,google,google,cpc,4086,2012,139,11350.11,0.034
f2d72a0a6d6ddd6da849078995c8d66d,2024-01-01,monthly,meta,meta,cpc,6112,3101,127,5756.94,0.0208
9e1b5fd344175d4e2621b57b04d3280d,2024-01-01,monthly,email,email,cpc,7874,5457,211,15256.54,0.0268
e96cccab859f3aa9ec3ddae15cbed706,2024-01-01,monthly,organic,organic,cpc,8281,5095,391,16552.07,0.0472
6f4717a4fd0e73023da0053cc8478245,2024-01-01,monthly,direct,direct,cpc,7690,4801,161,9403.44,0.0209
d6cba31348f1b2c9900eed394075a38a,2024-01-01,monthly,influencer,influencer,cpc,12459,7550,188,10497.86,0.0151
4b2ec0fcbdafea56218937349a4a6f73,2024-01-01,monthly,affiliate,affiliate,cpc,3262,1579,96,4052.74,0.0294
9fafb1c5bdb8b638177151934de56e7e,2024-02-01,monthly,google,google,cpc,3507,1904,171,14727.8,0.0488
ab2bfd0aa5261d0e8fd6d400996a93f4,2024-02-01,monthly,meta,meta,cpc,5900,2472,116,6015.67,0.0197
f06cdf1084d009d07569e45525a3eeca,2024-02-01,monthly,email,email,cpc,8542,4532,416,24894.28,0.0487
bb1031eccd13b58270d901beb370588e,2024-02-01,monthly,organic,organic,cpc,13212,7181,375,23056.91,0.0284
ade26e02e8dbb023da228abacef97355,2024-02-01,monthly,direct,direct,cpc,13736,8487,381,27437.55,0.0277
6fb41ff71789f8d6f0fa30478e7c5691,2024-02-01,monthly,influencer,influencer,cpc,9048,3731,423,37434.22,0.0468
ef4ede9bce78b7449acef7dcc75f6d48,2024-02-01,monthly,affiliate,affiliate,cpc,9426,5681,378,20084.65,0.0401
943a94bc95f8704ed8327a2712eea4fa,2024-03-01,monthly,google,google,cpc,11469,5687,371,25598.24,0.0323
247ef1b0ec4b6b7d2ad2039170f3b77a,2024-03-01,monthly,meta,meta,cpc,1033,423,44,3774.65,0.0426
6a2f453b40aedf901631b5baa9a51099,2024-03-01,monthly,email,email,cpc,11959,7485,242,10282.46,0.0202
414e673c7949eac1ce80445baf87065c,2024-03-01,monthly,organic,organic,cpc,2096,952,71,3132.78,0.0339
b36bc5a116a9f99bd40b51dac241d7ca,2024-03-01,monthly,direct,direct,cpc,9092,3974,200,12316.35,0.022
1c988046dbefd6592e994961ece5f4f3,2024-03-01,monthly,influencer,influencer,cpc,9115,4159,119,10344.4,0.0131
10b98390634164376bdcf96557fe4d8c,2024-03-01,monthly,affiliate,affiliate,cpc,6817,3197,73,4968.86,0.0107
48fc7bb473ea4b9490d615485f7594d5,2024-04-01,monthly,google,google,cpc,3185,1562,49,3860.39,0.0154
88ee060c5ad8c233144ce70cee4b0cbb,2024-04-01,monthly,meta,meta,cpc,14144,7477,284,14082.66,0.0201
f295c43de942388bb39fdce0e93ac810,2024-04-01,monthly,email,email,cpc,6847,3779,126,8649.3,0.0184
300a2334885947290b87de191893defc,2024-04-01,monthly,organic,organic,cpc,9325,5759,441,22121.92,0.0473
a633fca175891b1f07acd0919ee95517,2024-04-01,monthly,direct,direct,cpc,1560,1056,53,3603.11,0.034
53f5c68136d9546ba205a27508b6858d,2024-04-01,monthly,influencer,influencer,cpc,8275,5568,251,21274.72,0.0303
78c439ed203ef0ea1c051516961eace0,2024-04-01,monthly,affiliate,affiliate,cpc,1215,847,14,733.24,0.0115
b4010a9556a249aa00ccd8d5970e7204,2024-05-01,monthly,google,google,cpc,14908,9919,297,25158.54,0.0199
4cf2953039cb25293a2f165631aa3405,2024-05-01,monthly,meta,meta,cpc,3383,2215,46,3509.16,0.0136
1f6bce9be1bcfed3415ea2270a9c665c,2024-05-01,monthly,email,email,cpc,5579,2368,214,18437.49,0.0384
9479f6d2ac04b0b28a384469ead4e5bd,2024-05-01,monthly,organic,organic,cpc,2557,1285,58,4177.21,0.0227
dbe1221ee237408e0d4ec4e56f3e9cf8,2024-05-01,monthly,direct,direct,cpc,13866,6984,503,26449.69,0.0363
d0ddf6a72e65f3d94bdd95b88cd1d71b,2024-05-01,monthly,influencer,influencer,cpc,1739,812,72,5588.77,0.0414
a1a29b83d4834e51ccf9d117f4a58d13,2024-05-01,monthly,affiliate,affiliate,cpc,6973,4818,252,21452.56,0.0361
de317a500d6e605fe047942ebe279aae,2024-06-01,monthly,google,google,cpc,8808,3546,202,10201.42,0.0229
7910255aac82db743c68ec0103b95fe8,2024-06-01,monthly,meta,meta,cpc,13581,8592,651,54002.4,0.0479
2e6d586cd5a096daa76abb490d82a9d9,2024-06-01,monthly,email,email,cpc,8271,5176,220,19577.15,0.0266
7041bb15674b0ba522b0319a80fb0ced,2024-06-01,monthly,organic,organic,cpc,6523,4266,73,4332.78,0.0112
a1b906a884d80bb4931072b098147530,2024-06-01,monthly,direct,direct,cpc,1175,558,57,3911.97,0.0485
3db9443713ea81004ac62a127e150e84,2024-06-01,monthly,influencer,influencer,cpc,10028,5961,132,5383.26,0.0132
4633fddfa26468a1b4704554b4e7c4ad,2024-06-01,monthly,affiliate,affiliate,cpc,13291,6444,425,27633.17,0.032
ca8c9f241cf14852dd0a4931ed3544f4,2024-07-01,monthly,google,google,cpc,9511,4829,248,12903.49,0.0261
af16edb4aa09d5ca81f2bc13cfed1fb9,2024-07-01,monthly,meta,meta,cpc,6868,4616,90,5400.75,0.0131
9ad4509ead8c2a34d672cf38d83d03fb,2024-07-01,monthly,email,email,cpc,3014,1454,119,9562.3,0.0395
893794f03c51afada44fc54e2d08becd,2024-07-01,monthly,organic,organic,cpc,12551,6346,218,12443.47,0.0174
7148105551b3a1a28526e30ba8b325a2,2024-07-01,monthly,direct,direct,cpc,9263,4709,322,14831.85,0.0348
10e46c05d4dd4e029548279d7b87fbbe,2024-07-01,monthly,influencer,influencer,cpc,12302,5911,339,30068.76,0.0276
7f173dfcbd0392c0b6a24b74483463a9,2024-07-01,monthly,affiliate,affiliate,cpc,2651,1494,26,1779.4,0.0098
9a53f774ae715df92065dfb5eff8414e,2024-08-01,monthly,google,google,cpc,2444,1111,113,6757.65,0.0462
210404b92dfc7e522614375be2af4717,2024-08-01,monthly,meta,meta,cpc,4705,3177,225,13662.86,0.0478
7b41bda8b5c9fbc07ef66ed813e3780f,2024-08-01,monthly,email,email,cpc,11382,5256,538,45619.56,0.0473
6f3233c93f842402b01b9fe1d9298e4a,2024-08-01,monthly,organic,organic,cpc,14900,6400,419,18797.38,0.0281
dba83aa3b8c2f13d5a92c6ea6d3c53b2,2024-08-01,monthly,direct,direct,cpc,7430,4813,266,21966.27,0.0358
71a40964dc9de93e8336f51c6cec143f,2024-08-01,monthly,influencer,influencer,cpc,11632,7849,227,12573.43,0.0195
ae07e92a5e00d5fd4382e6d02da865f8,2024-08-01,monthly,affiliate,affiliate,cpc,10044,6905,272,21159.72,0.0271
f1438718fa573bdd0803868b559822dc,2024-09-01,monthly,google,google,cpc,5383,3181,117,9051.77,0.0217
c56049fb40c82bc68502a6a2339b1d84,2024-09-01,monthly,meta,meta,cpc,12042,6955,393,25054.62,0.0326
4a66ef86e33419325363ac4210bf83b9,2024-09-01,monthly,email,email,cpc,6743,3527,173,8016.48,0.0257
becfa42bc3f50770bed6275dcaae61c9,2024-09-01,monthly,organic,organic,cpc,4029,1846,177,11041.99,0.0439
7d5487366b8699b566b7edaecbd808ac,2024-09-01,monthly,direct,direct,cpc,14998,8142,591,26402.42,0.0394
4ab06b3a1316438c7781c19b44a4672d,2024-09-01,monthly,influencer,influencer,cpc,2121,1031,104,5290.0,0.049
2862620c77fa682ab5870c4ef9e44e26,2024-09-01,monthly,affiliate,affiliate,cpc,14054,8243,550,34841.03,0.0391
72f636bbb946495fb8437ddeb6dd2705,2024-10-01,monthly,google,google,cpc,4415,2921,197,8113.2,0.0446
c7dbae97e806ed0c56e3029ab1ef03ca,2024-10-01,monthly,meta,meta,cpc,13231,9153,436,27226.45,0.033
ad13da2f311df786a2cc178453ef0d24,2024-10-01,monthly,email,email,cpc,3308,1875,125,8090.48,0.0378
ff2dce7dce3b15ff1c518b8f57e3ae83,2024-10-01,monthly,organic,organic,cpc,4450,2117,214,17440.68,0.0481
477a11dc3f6ffd631b5813dd39dad34a,2024-10-01,monthly,direct,direct,cpc,11747,7790,415,21525.19,0.0353
edcd5b4be2a84f6b88403443730f1c93,2024-10-01,monthly,influencer,influencer,cpc,3283,2258,61,3248.36,0.0186
56c71063191e3271fc317ba1c0323bee,2024-10-01,monthly,affiliate,affiliate,cpc,3800,1641,50,2302.76,0.0132
6c602e44ac63e05d09d290f3404f001b,2024-11-01,monthly,google,google,cpc,14932,6493,742,41189.08,0.0497
abf178a8080330b77a5c78375cbbb688,2024-11-01,monthly,meta,meta,cpc,11659,6385,191,12561.04,0.0164
c8e9fb8eab11015770dd7707262a5b7d,2024-11-01,monthly,email,email,cpc,3638,1750,68,4018.61,0.0187
3c1dee9f8e210ef260a57de111c86412,2024-11-01,monthly,organic,organic,cpc,5826,3652,244,14487.14,0.0419
01f25f966fda4453aa9c041f4c6ba1b3,2024-11-01,monthly,direct,direct,cpc,10021,6336,293,14104.78,0.0292
75ca1a3e9d40b898355f86134194d9c8,2024-11-01,monthly,influencer,influencer,cpc,8864,5981,269,12948.75,0.0303
2184d00b8377c3566fbdf94d64c6d0ff,2024-11-01,monthly,affiliate,affiliate,cpc,10969,7566,496,25208.51,0.0452
d734216bcdd504af2a487a9017e61299,2024-12-01,monthly,google,google,cpc,1992,970,30,2262.57,0.0151
be06b4d4d86eb0f2268b007855d76470,2024-12-01,monthly,meta,meta,cpc,6447,2716,123,10523.3,0.0191
dd323a1a19c90ecdb7984bb9359bbd75,2024-12-01,monthly,email,email,cpc,7199,4075,132,7092.02,0.0183
400cd1a87c6c22156a80462dd933b805,2024-12-01,monthly,organic,organic,cpc,13998,7602,647,53103.38,0.0462
132d49724d09d1a89dd2b0b7026a1542,2024-12-01,monthly,direct,direct,cpc,8933,3999,137,7088.28,0.0153
eb0e05402ca1f32cbecf9e16e76b51e6,2024-12-01,monthly,influencer,influencer,cpc,2781,1164,132,11397.24,0.0475
62873a26d89cc17ee2eeded7903fe60e,2024-12-01,monthly,affiliate,affiliate,cpc,10233,6616,326,15297.09,0.0319
e036c1decc17d11f98556cec203ff400,2025-01-01,monthly,google,google,cpc,11436,4586,150,7871.71,0.0131
d341947ba23edb8f8e455733f79de3e5,2025-01-01,monthly,meta,meta,cpc,8105,4876,253,18261.95,0.0312
b04a96faad1580940db86f168d5117a7,2025-01-01,monthly,email,email,cpc,1471,786,32,1933.45,0.0218
7fd68082319603f1f39fa1c10d48a130,2025-01-01,monthly,organic,organic,cpc,14862,8152,165,11830.57,0.0111
dc61fecec495994dcfc1535d02cd3110,2025-01-01,monthly,direct,direct,cpc,1101,510,36,1873.21,0.0327
517fff7344e26b666828ff43726f544a,2025-01-01,monthly,influencer,influencer,cpc,2245,1315,33,2766.19,0.0147
194d96ac316b37a9d1d82f38d023d12c,2025-01-01,monthly,affiliate,affiliate,cpc,3079,1641,52,4049.06,0.0169
c765b4bbfab4b7c57dbbbfb5a1371612,2025-02-01,monthly,google,google,cpc,9034,4878,323,25799.46,0.0358
ac418ff35de8839b6357fd9a110c492a,2025-02-01,monthly,meta,meta,cpc,2400,1615,53,3494.26,0.0221
4a06f332a2d4cd438bcd462e9ba9eace,2025-02-01,monthly,email,email,cpc,10394,5124,113,8763.42,0.0109
e089689e82f564df25c8ec953890260b,2025-02-01,monthly,organic,organic,cpc,8109,3729,314,19636.76,0.0387
0d37eafe4c364f5a97b48a475c72852d,2025-02-01,monthly,direct,direct,cpc,3532,1943,45,2218.71,0.0127
5bca54d4fa0653947e2cfd528d989af2,2025-02-01,monthly,influencer,influencer,cpc,11590,5927,396,24083.95,0.0342
4023ac6de007e28a1e09ecc2f5ed05fa,2025-02-01,monthly,affiliate,affiliate,cpc,9822,6172,235,17349.76,0.0239
e19e37b61b142de15843515877e4e3af,2025-03-01,monthly,google,google,cpc,1600,1086,52,3683.76,0.0325
2c9472ad182fd7ce3c019cd5a8d665d5,2025-03-01,monthly,meta,meta,cpc,4884,2144,189,16417.29,0.0387
d356802a5771a6d01736af764b9b1693,2025-03-01,monthly,email,email,cpc,9556,4580,238,14476.54,0.0249
2d9aa5c3861fdd093e79cb9a1e507dde,2025-03-01,monthly,organic,organic,cpc,4956,2764,182,9794.7,0.0367
fd78da2cebe9e9eb8429a1ca50e7aec7,2025-03-01,monthly,direct,direct,cpc,8845,4690,130,10603.58,0.0147
efb944f628a96f299417c5ce1eb6c549,2025-03-01,monthly,influencer,influencer,cpc,9637,5122,296,13936.19,0.0307
f0ab9e1a00d5f919bd82c841f9da7be1,2025-03-01,monthly,affiliate,affiliate,cpc,3191,1698,44,1813.59,0.0138
